speed,Tsw,Tst,theta,Fundamental Frequency Hip 1,Fundamental Frequency Knee 1,Fundamental Frequency Hip 2,Fundamental Frequency Knee 2,Fundamental Frequency Hip 3,Fundamental Frequency Knee 3,Fundamental Frequency Hip 4,Fundamental Frequency Knee 4
2.3684210526315788,160.0,600.0,15.0,1.316422605000833,1.3157894736842106,1.3173305294672208,1.3157894736842106,1.3175000193289754,1.3180535210035513,1.318831028142974,1.315869687334248
2.3622047244094486,160.0,602.0,15.0,1.3127398911543875,1.3123359580052494,1.3140536785419428,1.3123359580052494,1.314107476967356,1.314588125987297,1.315444968057715,1.3123359580052494
2.3560209424083767,160.0,604.0,15.0,1.3091169456068104,1.3089005235602094,1.310845181889365,1.3089005235602094,1.310584985776858,1.311272840359969,1.3119158586108295,1.3089005235602094
2.3498694516971277,160.0,606.0,15.0,1.3055660375003388,1.3054830287206267,1.307653201046235,1.3054830287206272,1.306441500766161,1.3087949460849082,1.308356923761553,1.3054830287206267
2.3437499999999996,160.0,608.0,15.0,1.3020949277068643,1.302083333333334,1.3044952925370479,1.3020833333333333,1.3022459491654934,1.3064610561976766,1.304752290414637,1.302083333333334
2.3376623376623376,160.0,610.0,15.0,1.2987065603075005,1.2987012987012991,1.301318862191576,1.2987012987012987,1.2987767839936601,1.3032917121129697,1.3011479539751654,1.2987012987012982
2.33160621761658,160.0,612.0,15.0,1.2953991313466746,1.2953367875647674,1.2981427505463936,1.2953367875647666,1.2961161057522446,1.2990645178705769,1.2975270052621226,1.2953367875647666
2.325581395348837,160.0,614.0,15.0,1.2921664897430523,1.2919896640826873,1.2949230014349393,1.2919896640826873,1.2936075462729109,1.294633702241757,1.2939416151050238,1.2919896640826873
2.319587628865979,160.0,616.0,15.0,1.288998806606062,1.288659793814433,1.291678860755239,1.2886597938144324,1.290501363078256,1.2910211600357866,1.290373427047742,1.288659793814433
2.313624678663239,160.0,618.0,15.0,1.2858834395745493,1.2853470437018,1.2883816880083787,1.2853470437018,1.2871305054049107,1.2876962737615376,1.2868707422594152,1.2853470437017995
2.3076923076923075,160.0,620.0,15.0,1.282805916591767,1.2820512820512826,1.2847150919645527,1.2825640416120525,1.2837179874896156,1.2843884692696548,1.2834141996063877,1.2820512820512822
2.301790281329923,160.0,622.0,15.0,1.2797509803475546,1.2787723785166236,1.2805906877495403,1.2803523050274113,1.280272847233394,1.281097615259559,1.28004000837979,1.278772378516624
2.2959183673469385,160.0,624.0,15.0,1.276703563017716,1.2755102040816322,1.2767906239986235,1.2778052678427858,1.2768071629533437,1.2778235817728956,1.2767288609524539,1.2755102040816326
2.2900763358778624,160.0,626.0,15.0,1.2736497480071942,1.2722646310432564,1.2738319636954454,1.2742226919160335,1.2733350773613605,1.2745662401764357,1.273500670614314,1.272264631043257
2.2842639593908625,160.0,628.0,15.0,1.2705775837585842,1.2690355329949239,1.2714848404131298,1.2698746558561416,1.2698717302667992,1.2713254631452349,1.270337415601017,1.2690355329949239
2.2784810126582276,160.0,630.0,15.0,1.2674777247388636,1.2658227848101262,1.26891926379651,1.2658733987675355,1.26643212354135,1.2681011246460225,1.2672430149100704,1.2658227848101267
2.2727272727272725,160.0,632.0,15.0,1.26434388694124,1.2626262626262625,1.265763270164327,1.262626262626263,1.2630302987735078,1.2648930999208892,1.2642016020702396,1.2626262626262625
2.267002518891687,160.0,634.0,15.0,1.2611607852580713,1.25947053309146,1.2624988984213104,1.2594458438287153,1.259678308435585,1.2617012654711772,1.2612051934854316,1.259445843828715
2.2613065326633164,160.0,636.0,15.0,1.2574815011620746,1.2569615079288528,1.2592032397660502,1.256281407035176,1.2563855770995327,1.2585254990416401,1.2582402346641115,1.2562814070351749
2.2556390977443606,160.0,638.0,15.0,1.253511126533059,1.2548434127794519,1.255877633880839,1.2531328320802002,1.2531584564143698,1.2553656796048318,1.2552932562438037,1.2531328320802004
2.2499999999999996,160.0,640.0,15.0,1.2500000000000018,1.2522241359641764,1.2525372981803657,1.25,1.2500000000000018,1.2522216873457284,1.252352428334892,1.25
2.244389027431421,160.0,642.0,15.0,1.2472877527256296,1.248627476956079,1.2491936776867432,1.2468827930174564,1.246909960232852,1.2490934036465975,1.249405893957727,1.2468827930174573
2.2388059701492535,160.0,644.0,15.0,1.2450199486499245,1.2444620001687956,1.2458599141093456,1.243781094527363,1.2438849848568576,1.2459807110720547,1.2464423687468895,1.2437810945273635
2.2332506203473943,160.0,646.0,15.0,1.2424771928587235,1.2407122359370313,1.2425501832419268,1.2406947890818858,1.240918981259313,1.242883493354395,1.2434575435667776,1.2406947890818867
2.2277227722772275,160.0,648.0,15.0,1.2394049929621072,1.2376237623762376,1.239276128844253,1.237623762376238,1.2380036103773753,1.2398016353791026,1.240439599101652,1.2376237623762372
2.222222222222222,160.0,650.0,15.0,1.236276037400973,1.2345679012345678,1.2360475381535583,1.2345679012345678,1.2351288699914396,1.2367350231705876,1.2373953529787187,1.234572660431477
2.216748768472906,160.0,652.0,15.0,1.2331164408863327,1.2315270935960592,1.2328757856281967,1.2315270935960594,1.2322837277802325,1.233683543878141,1.2339459667446173,1.2320701131211493
2.2113022113022107,160.0,654.0,15.0,1.2299337605228762,1.2285012285012284,1.2297606643552612,1.2285012285012282,1.2294567025980903,1.2306470857620888,1.2301602903960362,1.2299978276254977
2.205882352941176,160.0,656.0,15.0,1.2267374546387024,1.2254901960784315,1.2267145816882117,1.2254901960784315,1.2266366835436526,1.227625538180152,1.2266676443159148,1.2276086348673383
2.200488997555012,160.0,658.0,15.0,1.2235382489835207,1.2224938875305624,1.2237245828977232,1.2224938875305624,1.2238133151721184,1.2246187915740092,1.2239236914670772,1.2243314209445475
2.195121951219512,160.0,660.0,15.0,1.2203474620467099,1.2195121951219512,1.220805169271461,1.2195121951219512,1.2209775587958596,1.2216267374560528,1.221719214553702,1.2203703827115455
2.1897810218978098,160.0,662.0,15.0,1.217176343860976,1.2165450121654502,1.2179308977520786,1.2165450121654497,1.2181221008858905,1.218649268396344,1.2193925092788929,1.2166361994404813
2.184466019417475,160.0,664.0,15.0,1.2140354264405255,1.2135922330097086,1.2151188602133007,1.2135922330097084,1.2152416528067835,1.2156862780097517,1.216519267418319,1.2135922330097086
